node,degree_in,degree_out,betweenness,pagerank,eigenvector
dsat911,1,0,0.0,0.0005365963579002274,0.0
christyn_08,1,0,0.0,0.0005365963579002274,0.0
koslap_08,1,0,0.0,0.0005365963579002274,0.0
ndlg0x,1,0,0.0,0.0005365963579002274,0.0
hoteliercrypto,1,0,0.0,0.0005365963579002274,0.0
iamjuanalbert,1,0,0.0,0.0005365963579002274,0.0
monkeradioman12,1,0,0.0,0.0005365963579002274,0.0
cnbcindonesia,1,0,0.0,0.0005365963579002274,0.0
rocky_antonie,1,0,0.0,0.0005365963579002274,0.0
titiknol_jogja,1,0,0.0,0.0005365963579002274,0.0
arsul_sani,1,0,0.0,0.0005365963579002274,0.0
fahmi23cck,1,0,0.0,0.0005365963579002274,0.0
nsnnkbr,1,0,0.0,0.0005365963579002274,0.0
lexmarteg,1,0,0.0,0.0005365963579002274,0.0
chamdanmaullana,1,0,0.0,0.0005365963579002274,0.0
ordebaroe,1,0,0.0,0.0005365963579002274,0.0
pebriyandwi_p,1,0,0.0,0.0005365963579002274,0.0
youtube,1,0,0.0,0.0005365963579002274,0.0
